HHID,fetch_water_ga,Year,Dry_Ln_2012_2002_10,Demo_group_Detail,IHS_Distance_Water,Ln_2012_2002_Categ,fetch_water
1033000506,0,2009,1,7,1.9928358,1,7
1033000506,0,2009,1,1,1.9928358,1,7
1033000506,0,2009,1,6,1.9928358,1,7
1033000506,0,2010,0,3,1.8184465,3,28
1033000506,20,2010,0,6,1.8184465,3,28
1033000506,4,2010,0,1,1.8184465,3,28
1033000506,0,2010,0,7,1.8184465,3,28
1033000506,4,2010,0,1,1.8184465,3,28
1033000506,0,2011,0,7,0.88137358,4,7
1033000506,0,2011,0,7,0.88137358,4,7
1033000506,0,2011,0,1,0.88137358,4,7
1033000506,0,2011,0,3,0.88137358,4,7
1033000506,7,2011,0,1,0.88137358,4,7
1033000506,0,2011,0,6,0.88137358,4,7
1033000507,1,2009,1,1,0.39003533,1,6
1033000507,2,2009,1,4,0.39003533,1,6
1033000507,0,2009,1,5,0.39003533,1,6
1033000507,0,2009,1,5,0.39003533,1,6
1033000507,1,2009,1,2,0.39003533,1,6
1033000507,0,2009,1,4,0.39003533,1,6
1033000507,2,2009,1,4,0.39003533,1,6
1033000507,0,2009,1,6,0.39003533,1,6
1033000507,0,2009,1,3,0.39003533,1,6
1033000507,5,2010,0,1,0.88137358,3,20
1033000507,0,2010,0,4,0.88137358,3,20
1033000507,4,2010,0,3,0.88137358,3,20
1033000507,0,2010,0,5,0.88137358,3,20
1033000507,2,2010,0,4,0.88137358,3,20
1033000507,3,2010,0,4,0.88137358,3,20
1033000507,3,2010,0,2,0.88137358,3,20
